Datetime,Berthing angle (degrees),Berthing speed (cm/s),Vessel displacement (tonnes)
30/11/11 12:09,0.1,2,175185
16/11/11 07:50,0.3,2,186007
8/12/11 14:18,0.0,1,186007
17/11/11 15:05,0.3,2,186247
24/11/11 08:48,0.2,1,186247
30/11/11 16:15,0.1,2,186779
25/10/11 07:30,0.2,2,197585
8/12/11 11:18,0.1,2,197585
26/10/11 07:30,0.2,2,197585
30/11/11 16:42,0.1,1,197585
29/10/11 00:15,0.3,1,243652
21/10/11 17:15,0.5,3,250603
